COMPTE RENDU DE LA SIMULATION Modèle1.essai0
RESULTATS GLOBAUX : 
Id, age, richesse, mu, probaMort, probaEnfant, alpha, revenuTravail, revenuCapital
0, 50, 6.710756781646371, 0.6671626593318228, 0.0, 0.0, 0.2, 6.724938235710172, 0.053603967973030235, 2.967342051001169
1, 50, 6.911857819736837, 0.6871555018281814, 0.0, 0.0, 0.2, 6.926464248989975, 0.055210316400770426, 2.967342051001169
2, 50, 8.046919222946817, 0.7999997921368039, 0.0, 0.0, 0.2, 8.063924315082492, 0.06427692021732452, 2.967342051001169
3, 50, 2.002379782147873, 0.19907039755988698, 0.0, 0.0, 0.2, 2.006611295496185, 0.015994545057221525, 2.967342051001169
4, 50, 7.213981522363153, 0.7171917048153948, 0.0, 0.0, 0.2, 7.229226412158043, 0.05762361043100068, 2.967342051001169
5, 50, 1.564021278499009, 0.15549015250690723, 0.0, 0.0, 0.2, 1.5673264341822701, 0.012493039049052005, 2.967342051001169
6, 50, 7.029035928033659, 0.6988049865123216, 0.0, 0.0, 0.2, 7.043889983003859, 0.056146307939230276, 2.967342051001169
7, 50, 9.876452780123788, 0.981886352903407, 0.0, 0.0, 0.2, 9.897324116393595, 0.07889081302437209, 2.967342051001169
8, 50, 5.4053238255925455, 0.5373805571220922, 0.0, 0.0, 0.2, 5.41674658371459, 0.0431764724394967, 2.967342051001169
9, 50, 8.963473736499882, 0.8911208034315166, 0.0, 0.0, 0.2, 8.982415726976116, 0.07159814827629028, 2.967342051001169
10, 50, 9.133314259878317, 0.90800582235358, 0.0, 0.0, 0.2, 9.152615164506685, 0.0729547949663625, 2.967342051001169
11, 50, 7.296478713261329, 0.7253933200814348, 0.0, 0.0, 0.2, 7.3118979395969665, 0.058282578848819835, 2.967342051001169
12, 50, 1.189254479859004, 0.11823199785380434, 0.0, 0.0, 0.2, 1.1917676625483864, 0.009499488824344648, 2.967342051001169
13, 50, 1.80192578464455, 0.17928365738474983, 0.0, 0.0, 0.2, 1.8071627746555414, 0.01296428054097368, 2.967342051001169
14, 50, 3.1941506845857455, 0.31755257035436457, 0.0, 0.0, 0.2, 3.200900698433692, 0.025514134481202457, 2.967342051001169
15, 50, 3.4897494482575215, 0.34694008411523114, 0.0, 0.0, 0.2, 3.497124133871221, 0.027875308813144477, 2.967342051001169
16, 50, 9.067173761182554, 0.9014361182338867, 0.0, 0.0, 0.2, 9.08639315130817, 0.07236822362370104, 2.967342051001169
17, 50, 8.553316555843825, 0.8503442465849123, 0.0, 0.0, 0.2, 8.571391784879333, 0.06832190789220623, 2.967342051001169
18, 50, 3.2931354138881384, 0.3273933256347882, 0.0, 0.0, 0.2, 3.3000946064378756, 0.02630480152994071, 2.967342051001169
19, 50, 6.364145758883141, 0.6327036647318565, 0.0, 0.0, 0.2, 6.377594739925305, 0.050835319552614486, 2.967342051001169
20, 48, 7.296478713261329, 0.7253933200814348, 0.0, 0.0, 0.2, 7.3118979395969665, 0.058282578848819835, 2.967342051001169
21, 39, 6.911857819736837, 0.6871555018281814, 0.0, 0.0, 0.2, 6.926464248989975, 0.055210316400770426, 2.967342051001169
22, 39, 7.213981522363153, 0.7171917048153948, 0.0, 0.0, 0.2, 7.229226412158043, 0.05762361043100068, 2.967342051001169
23, 34, 8.553316555843825, 0.8503442465849123, 0.0, 0.0, 0.2, 8.571391784879333, 0.06832190789220623, 2.967342051001169
24, 33, 8.046919226226647, 0.7999997921368039, 0.0, 0.0, 0.2, 8.063924315082492, 0.0642769235302834, 2.967342051001169
25, 33, 7.296478713261329, 0.7253933200814348, 0.0, 0.0, 0.2, 7.3118979395969665, 0.058282578848819835, 2.967342051001169
26, 32, 2.002379782147873, 0.19907039755988698, 0.0, 0.0, 0.2, 2.006611295496185, 0.015994545057221525, 2.967342051001169
27, 31, 2.002379782147873, 0.19907039755988698, 0.0, 0.0, 0.2, 2.006611295496185, 0.015994545057221525, 2.967342051001169
28, 28, 5.4053238255925455, 0.5373805571220922, 0.0, 0.0, 0.2, 5.41674658371459, 0.0431764724394967, 2.967342051001169
29, 27, 6.911857819736837, 0.6871555018281814, 0.0, 0.0, 0.2, 6.926464248989975, 0.055210316400770426, 2.967342051001169
30, 21, 6.710756781646371, 0.6671626593318228, 0.0, 0.0, 0.2, 6.724938235710172, 0.053603967973030235, 2.967342051001169
31, 21, 7.296478713261329, 0.7253933200814348, 0.0, 0.0, 0.2, 7.3118979395969665, 0.058282578848819835, 2.967342051001169
32, 19, 3.4897494482575215, 0.34694008411523114, 0.0, 0.0, 0.2, 3.497124133871221, 0.027875308813144477, 2.967342051001169
33, 19, 7.296478713261329, 0.7253933200814348, 0.0, 0.0, 0.2, 7.3118979395969665, 0.058282578848819835, 2.967342051001169
34, 18, 1.8033518555100687, 0.17928365738474983, 0.0, 0.0, 0.2, 1.8071627746555414, 0.014404756162709682, 2.967342051001169
35, 17, 8.046919226226647, 0.7999997921368039, 0.0, 0.0, 0.2, 8.063924315082492, 0.0642769235302834, 2.967342051001169
36, 16, 7.296478713261329, 0.7253933200814348, 0.0, 0.0, 0.2, 7.3118979395969665, 0.058282578848819835, 2.967342051001169
37, 14, 7.213981522363153, 0.7171917048153948, 0.0, 0.0, 0.2, 7.229226412158043, 0.05762361043100068, 2.967342051001169
38, 13, 7.213981522363153, 0.7171917048153948, 0.0, 0.0, 0.2, 7.229226412158043, 0.05762361043100068, 2.967342051001169
39, 12, 6.710756781646371, 0.6671626593318228, 0.0, 0.0, 0.2, 6.724938235710172, 0.05360396797303023, 2.967342051001169
